order_id,customer_id,order_date,status,category,payment_method,quantity,discount_percent,amount,delivery_days,rating,amount_raw,is_amount_outlier,amount_clean,is_successful,registration_date,country,city,age,signup_channel,marketing_consent,age_missing
O100001,C01194,2026-02-09,cancelled,home,card,4,25,4557.16,,,4557.16,0,4557.16,0,2025-10-03,Russia,Novosibirsk,18,referral,1,0
O100002,C01554,2026-03-25,completed,beauty,sbp,3,15,1329.89,2.0,5.0,1329.89,0,1329.89,1,2025-07-18,Georgia,Tbilisi,24,organic,1,0
O100003,C00420,2026-02-10,processing,clothing,cash,1,7,254.73,16.0,,254.73,0,254.73,0,2025-04-06,Georgia,Tbilisi,18,ads,0,0
O100004,C01986,2026-03-13,completed,electronics,card,4,15,515.5,4.0,4.0,515.5,0,515.5,1,2025-12-24,Russia,Novosibirsk,67,organic,1,0
O100005,C00881,2024-11-05,cancelled,electronics,card,3,15,2785.58,,,2785.58,0,2785.58,0,2024-03-19,Russia,Kazan,26,referral,1,0
O100006,C01868,2026-03-13,delivered,electronics,cash,4,20,879.0,19.0,2.0,879.0,0,879.0,1,2025-11-24,Russia,Kazan,18,ads,1,0
O100007,C00494,2026-03-22,completed,electronics,sbp,5,28,18595.47,7.0,4.0,18595.47,1,5533.54,1,2025-07-04,Kazakhstan,Astana,23,referral,0,0
O100008,C00848,2024-09-11,completed,clothing,card,5,2,1011.86,6.0,4.0,1011.86,0,1011.86,1,2024-02-17,Belarus,Minsk,61,referral,1,0
O100009,C00276,2025-12-02,processing,beauty,card,5,17,5536.38,1.0,,5536.38,1,5533.54,0,2025-03-15,Russia,Moscow,39,referral,1,0
O100010,C01693,2026-04-11,cancelled,clothing,card,4,11,5470.34,,,5470.34,0,5470.34,0,2025-08-22,Armenia,Yerevan,35,ads,1,0
O100011,C01196,2026-03-20,delivered,beauty,card,4,18,674.83,16.0,1.0,674.83,0,674.83,1,2025-07-31,Kazakhstan,Almaty,42,organic,1,0
O100012,C00152,2024-10-13,completed,toys,cash,1,6,343.87,7.0,3.0,343.87,0,343.87,1,2024-09-13,Armenia,Yerevan,53,ads,1,0
O100013,C01488,2024-11-08,delivered,electronics,card,1,19,409.96,15.0,2.0,409.96,0,409.96,1,2024-01-02,Kazakhstan,Astana,44,organic,1,1
O100014,C01775,2026-02-02,completed,home,sbp,1,2,7991.09,18.0,2.0,7991.09,1,5533.54,1,2025-12-02,Kazakhstan,Astana,38,ads,1,0
O100015,C01371,2026-07-31,delivered,electronics,card,4,24,1619.72,4.0,4.0,1619.72,0,1619.72,1,2026-03-14,Russia,Saint Petersburg,52,ads,1,0
O100016,C01617,2026-06-29,completed,electronics,sbp,4,11,792.94,1.0,4.0,792.94,0,792.94,1,2025-12-25,Russia,Novosibirsk,44,organic,0,1
O100017,C00553,2026-07-31,cancelled,electronics,wallet,5,2,3651.28,,,3651.28,0,3651.28,0,2026-01-25,Russia,Moscow,48,organic,0,0
O100018,C00865,2026-07-31,delivered,electronics,card,4,18,852.59,10.0,4.0,852.59,0,852.59,1,2026-02-10,Belarus,Minsk,57,referral,1,0
O100019,C01709,2024-10-15,completed,home,wallet,5,11,2345.38,16.0,2.0,2345.38,0,2345.38,1,2024-08-10,Russia,Kazan,23,ads,1,0
O100020,C01217,2025-07-20,delivered,home,cash,4,28,1369.69,10.0,4.0,1369.69,0,1369.69,1,2025-04-07,Russia,Kazan,69,organic,1,0
O100021,C01224,2025-10-30,completed,home,sbp,4,29,2983.06,3.0,5.0,2983.06,0,2983.06,1,2025-08-19,Russia,Novosibirsk,33,ads,1,0
O100022,C01535,2026-07-31,completed,home,card,3,19,943.54,5.0,5.0,943.54,0,943.54,1,2026-01-14,Georgia,Tbilisi,52,organic,1,0
O100023,C01230,2025-06-07,completed,beauty,sbp,1,29,282.34,16.0,1.0,282.34,0,282.34,1,2024-09-19,Belarus,Gomel,19,organic,1,0
O100027,C00485,2026-01-21,delivered,clothing,wallet,5,9,528.2,10.0,3.0,528.2,0,528.2,1,2025-02-26,Belarus,Gomel,27,organic,1,0
O100029,C00950,2024-12-19,processing,clothing,card,1,26,338.14,4.0,,338.14,0,338.14,0,2024-09-10,Armenia,Yerevan,69,organic,1,0
O100030,C01241,2025-07-28,cancelled,electronics,wallet,2,27,1231.36,,,1231.36,0,1231.36,0,2025-04-08,Russia,Novosibirsk,44,referral,0,0
O100031,C00476,2026-01-05,completed,beauty,card,3,27,338.04,6.0,,338.04,0,338.04,1,2025-12-16,Russia,Moscow,52,ads,1,0
O100032,C00621,2025-05-07,delivered,toys,card,5,22,3075.47,16.0,2.0,3075.47,0,3075.47,1,2025-01-30,Russia,Moscow,69,organic,1,0
O100033,C01377,2026-07-31,processing,toys,card,5,9,2875.34,12.0,,2875.34,0,2875.34,0,2026-05-27,Armenia,Yerevan,67,organic,1,0
O100034,C00344,2025-12-10,completed,electronics,card,5,4,2050.43,7.0,4.0,2050.43,0,2050.43,1,2025-04-14,Russia,Novosibirsk,27,ads,1,0
O100035,C00618,2025-07-16,completed,electronics,card,2,22,485.09,18.0,2.0,485.09,0,485.09,1,2024-08-31,Russia,Kazan,29,email,1,0
O100036,C01997,2025-12-21,processing,electronics,cash,1,1,1252.42,10.0,,1252.42,0,1252.42,0,2025-05-19,Belarus,Minsk,49,organic,1,0
O100037,C00304,2026-07-31,cancelled,beauty,card,4,29,1084.71,,,1084.71,0,1084.71,0,2026-03-28,Russia,Kazan,44,ads,1,0
O100038,C01156,2026-01-06,cancelled,home,cash,3,6,3061.84,,,3061.84,0,3061.84,0,2025-06-19,Armenia,Yerevan,52,ads,1,0
O100039,C00304,2026-07-31,cancelled,beauty,card,3,0,3416.39,,,3416.39,0,3416.39,0,2026-03-28,Russia,Kazan,44,ads,1,0
O100040,C01415,2026-04-07,completed,toys,sbp,4,30,1012.84,7.0,3.0,1012.84,0,1012.84,1,2025-06-17,Russia,Moscow,60,ads,1,0
O100041,C00255,2026-02-19,delivered,electronics,card,5,2,4482.25,12.0,4.0,4482.25,0,4482.25,1,2025-08-25,Russia,Moscow,45,organic,1,0
O100042,C01148,2026-07-31,cancelled,clothing,cash,1,18,349.41,,,349.41,0,349.41,0,2025-12-01,Georgia,Tbilisi,21,ads,1,0
O100043,C00880,2026-06-08,completed,beauty,sbp,4,25,3284.98,4.0,,3284.98,0,3284.98,1,2025-07-28,Russia,Saint Petersburg,51,organic,0,0
O100044,C01384,2026-07-21,completed,electronics,sbp,1,4,233.06,1.0,5.0,233.06,0,233.06,1,2026-03-29,Russia,Novosibirsk,31,organic,1,0
O100045,C00007,2024-06-05,completed,clothing,card,3,20,1348.21,11.0,5.0,1348.21,0,1348.21,1,2024-03-19,Armenia,Yerevan,29,unknown,1,0
O100046,C01033,2025-12-11,completed,clothing,sbp,1,23,524.08,7.0,4.0,524.08,0,524.08,1,2025-10-28,Russia,Kazan,65,ads,0,0
O100047,C01085,2025-06-02,delivered,home,card,5,23,2406.48,5.0,4.0,2406.48,0,2406.48,1,2024-07-01,Belarus,Gomel,48,referral,1,0
O100048,C00482,2026-07-06,cancelled,toys,card,3,6,2005.35,,,2005.35,0,2005.35,0,2026-01-26,Russia,Kazan,65,referral,0,0
O100049,C00597,2026-01-04,completed,electronics,sbp,2,20,516.01,16.0,2.0,516.01,0,516.01,1,2025-06-12,Russia,Saint Petersburg,35,referral,1,0
O100050,C01413,2024-11-23,delivered,clothing,card,2,17,633.5,11.0,2.0,633.5,0,633.5,1,2024-08-16,Russia,Moscow,52,ads,1,0
O100051,C01105,2025-02-25,completed,toys,card,4,13,3488.99,18.0,2.0,3488.99,0,3488.99,1,2024-10-06,Belarus,Minsk,44,organic,1,1
O100052,C01158,2026-07-10,processing,clothing,wallet,2,15,708.59,1.0,,708.59,0,708.59,0,2026-02-14,Russia,Kazan,44,organic,1,1
O100053,C01871,2024-09-08,delivered,home,card,2,29,662.04,13.0,3.0,662.04,0,662.04,1,2024-02-09,Belarus,Minsk,49,referral,1,0
O100054,C00811,2024-04-13,delivered,toys,sbp,1,1,251.27,20.0,2.0,251.27,0,251.27,1,2024-02-10,Russia,Novosibirsk,38,referral,1,0
O100055,C01739,2024-10-15,completed,electronics,card,2,19,682.06,8.0,4.0,682.06,0,682.06,1,2024-01-03,Kazakhstan,Almaty,18,referral,1,0
O100056,C01949,2024-05-23,completed,electronics,card,4,17,866.66,20.0,1.0,866.66,0,866.66,1,2024-01-02,Georgia,Tbilisi,65,referral,0,0
O100057,C01153,2025-04-24,completed,electronics,card,1,16,883.1,17.0,2.0,883.1,0,883.1,1,2025-01-27,Kazakhstan,Astana,62,ads,1,0
O100058,C00424,2025-06-18,cancelled,electronics,card,5,27,1720.18,,,1720.18,0,1720.18,0,2025-06-13,Russia,Moscow,38,unknown,0,0
O100059,C00837,2026-02-13,completed,clothing,sbp,2,17,414.14,8.0,2.0,414.14,0,414.14,1,2026-01-07,Russia,Moscow,67,referral,1,0
O100060,C00094,2025-03-27,cancelled,electronics,sbp,4,25,1675.32,,,1675.32,0,1675.32,0,2024-12-19,Russia,Moscow,40,organic,1,0
O100061,C01397,2026-04-12,completed,clothing,card,1,23,161.23,8.0,5.0,161.23,0,161.23,1,2025-07-19,Russia,Moscow,69,organic,1,0
O100062,C00548,2026-05-01,delivered,beauty,cash,1,25,248.48,14.0,2.0,248.48,0,248.48,1,2025-06-23,Kazakhstan,Almaty,35,ads,1,0
O100063,C01847,2025-12-15,processing,electronics,card,5,18,7281.05,3.0,,7281.05,1,5533.54,0,2025-01-02,Russia,Novosibirsk,47,ads,1,0
O100064,C01307,2024-12-06,completed,clothing,cash,5,0,1031.67,15.0,2.0,1031.67,0,1031.67,1,2024-08-20,Russia,Moscow,47,ads,1,0
O100065,C00980,2026-01-17,delivered,electronics,card,2,2,878.66,18.0,2.0,878.66,0,878.66,1,2025-05-30,Russia,Kazan,33,ads,1,0
O100066,C00374,2025-03-13,completed,home,card,5,16,14393.81,13.0,2.0,14393.81,1,5533.54,1,2024-12-06,Kazakhstan,Astana,25,ads,1,0
O100067,C00199,2024-12-27,completed,clothing,card,5,8,3007.43,3.0,4.0,3007.43,0,3007.43,1,2024-11-05,Russia,Novosibirsk,49,ads,1,0
O100068,C01346,2026-07-31,delivered,electronics,card,2,7,654.92,1.0,,654.92,0,654.92,1,2026-06-28,Russia,Saint Petersburg,70,ads,0,0
O100069,C01533,2026-07-31,completed,toys,card,5,15,502.35,19.0,1.0,502.35,0,502.35,1,2026-04-30,Belarus,Gomel,56,organic,1,0
O100070,C00533,2025-02-23,delivered,beauty,card,5,14,2815.72,7.0,4.0,2815.72,0,2815.72,1,2024-05-22,Russia,Moscow,31,referral,1,0
O100071,C00021,2025-05-13,delivered,home,wallet,2,5,533.25,,1.0,533.25,0,533.25,1,2025-04-01,Armenia,Yerevan,59,ads,0,0
O100072,C00640,2026-07-31,completed,home,card,3,14,2309.65,13.0,4.0,2309.65,0,2309.65,1,2026-05-15,Kazakhstan,Astana,39,organic,1,0
O100073,C01530,2026-07-31,completed,clothing,card,2,26,573.72,17.0,3.0,573.72,0,573.72,1,2026-04-17,Belarus,Minsk,31,ads,0,0
O100074,C01161,2025-09-24,completed,electronics,card,1,4,615.07,4.0,4.0,615.07,0,615.07,1,2025-06-15,Russia,Saint Petersburg,47,referral,0,0
O100075,C00170,2024-02-01,completed,clothing,card,5,24,7836.43,10.0,4.0,7836.43,1,5533.54,1,2024-01-21,Russia,Kazan,60,ads,1,0
O100076,C00230,2024-08-23,completed,beauty,card,3,24,2529.12,10.0,3.0,2529.12,0,2529.12,1,2024-06-10,Russia,Saint Petersburg,55,ads,1,0
