customer_id,registration_date,country,city,age,signup_channel,marketing_consent
C00001,2024-03-22,Russia,Kazan,44.0,referral,1.0
C00002,2025-12-06,Russia,Novosibirsk,24.0,referral,0.0
C00003,2025-08-19,Russia,Kazan,44.0,organic,1.0
C00004,2025-02-04,Russia,Kazan,66.0,organic,1.0
C00005,2025-01-29,Belarus,Minsk,33.0,ads,1.0
C00006,2026-02-22,Russia,Moscow,42.0,organic,1.0
C00007,2024-03-19,Armenia,Yerevan,29.0,,1.0
C00008,2025-09-27,Russia,Saint Petersburg,20.0,ads,1.0
C00009,2024-07-02,Kazakhstan,Astana,55.0,ads,1.0
C00010,2024-03-26,Russia,Moscow,31.0,organic,1.0
C00011,2025-04-25,Belarus,Minsk,46.0,referral,1.0
C00012,2026-06-08,Russia,Saint Petersburg,54.0,ads,1.0
C00013,2025-11-02,Russia,Novosibirsk,62.0,referral,1.0
C00014,2025-11-25,Georgia,Tbilisi,27.0,organic,1.0
C00015,2025-10-16,Russia,Kazan,48.0,ads,1.0
C00016,2025-12-17,Russia,Kazan,66.0,organic,1.0
C00017,2025-04-13,Belarus,Gomel,43.0,ads,1.0
C00018,2024-04-26,Kazakhstan,Almaty,20.0,organic,0.0
C00019,2026-02-04,Russia,Saint Petersburg,31.0,email,1.0
C00020,2025-02-14,Russia,Moscow,60.0,organic,1.0
C00021,2025-04-01,Armenia,Yerevan,59.0,ads,0.0
C00022,2024-12-04,Kazakhstan,Astana,34.0,organic,0.0
C00023,2024-06-15,Georgia,Tbilisi,28.0,ads,1.0
C00024,2026-04-25,Russia,Novosibirsk,33.0,ads,1.0
C00025,2025-12-13,Belarus,Minsk,30.0,ads,1.0
C00026,2025-08-10,Russia,Saint Petersburg,57.0,organic,0.0
C00027,2025-01-02,Georgia,Tbilisi,,organic,1.0
C00028,2026-01-20,Russia,Saint Petersburg,20.0,organic,1.0
C00029,2025-05-12,Kazakhstan,Astana,,email,1.0
C00030,2025-02-08,Russia,Saint Petersburg,57.0,ads,1.0
C00031,2025-02-14,Russia,Novosibirsk,50.0,organic,0.0
C00032,2024-07-26,Kazakhstan,Almaty,64.0,email,1.0
C00033,2024-03-25,Russia,Kazan,20.0,organic,1.0
C00034,2025-05-20,Armenia,Yerevan,55.0,ads,1.0
C00035,2026-03-20,Russia,Kazan,24.0,referral,0.0
C00036,2024-02-28,Belarus,Minsk,65.0,email,1.0
C00037,2026-02-21,Russia,Novosibirsk,44.0,referral,1.0
C00038,2026-01-24,Russia,Kazan,,ads,1.0
C00039,2024-09-09,Russia,Novosibirsk,57.0,email,1.0
C00040,2025-07-30,Russia,Novosibirsk,57.0,organic,0.0
C00041,2024-05-30,Russia,Moscow,42.0,email,1.0
C00042,2025-11-22,Belarus,Minsk,34.0,referral,1.0
C00043,2025-09-30,Belarus,Gomel,18.0,email,1.0
C00044,2024-11-19,Belarus,Minsk,,organic,0.0
C00045,2024-03-02,Russia,Saint Petersburg,27.0,organic,1.0
C00046,2026-06-04,Russia,Moscow,62.0,ads,0.0
C00047,2025-02-10,Russia,Saint Petersburg,49.0,ads,1.0
C00048,2026-03-25,Kazakhstan,Almaty,54.0,ads,1.0
C00049,2025-09-10,Armenia,Yerevan,54.0,,1.0
C00050,2025-12-10,Russia,Saint Petersburg,63.0,ads,1.0
C00051,2025-11-24,Belarus,Gomel,19.0,organic,1.0
C00052,2024-06-26,Russia,Kazan,70.0,ads,1.0
C00053,2024-11-27,Russia,Saint Petersburg,20.0,organic,0.0
C00054,2025-03-01,Russia,Moscow,70.0,organic,0.0
C00055,2025-03-29,Russia,Kazan,31.0,organic,0.0
C00056,2024-02-09,Belarus,Minsk,62.0,,1.0
C00057,2025-05-13,Armenia,Yerevan,22.0,referral,1.0
C00058,2024-05-20,Russia,Saint Petersburg,42.0,ads,1.0
C00059,2025-11-08,Russia,Saint Petersburg,46.0,ads,0.0
C00060,2025-09-14,Kazakhstan,Almaty,68.0,ads,0.0
C00061,2026-04-21,Georgia,Tbilisi,24.0,referral,1.0
C00062,2025-11-10,Belarus,Minsk,19.0,referral,0.0
C00063,2024-11-30,Russia,Saint Petersburg,52.0,ads,1.0
C00064,2026-06-01,Belarus,Gomel,20.0,referral,1.0
C00065,2025-01-09,Russia,Novosibirsk,59.0,ads,1.0
C00066,2024-10-24,Georgia,Tbilisi,20.0,ads,1.0
C00067,2026-04-05,Russia,Moscow,69.0,referral,1.0
C00068,2024-12-03,Belarus,Gomel,46.0,ads,1.0
C00069,2024-03-10,Russia,Kazan,68.0,ads,1.0
C00070,2025-03-04,Russia,Saint Petersburg,24.0,organic,1.0
C00071,2025-12-26,Armenia,Yerevan,32.0,ads,1.0
C00072,2024-06-21,Belarus,Minsk,42.0,ads,1.0
C00073,2025-02-26,Russia,Novosibirsk,19.0,ads,1.0
C00074,2024-04-28,Georgia,Tbilisi,23.0,ads,0.0
C00075,2025-09-18,Armenia,Yerevan,35.0,organic,1.0
C00076,2025-03-09,Russia,Saint Petersburg,57.0,,1.0
C00077,2024-10-28,Russia,Moscow,,organic,1.0
C00078,2024-07-25,Russia,Saint Petersburg,22.0,email,1.0
C00079,2025-05-29,Belarus,Minsk,21.0,organic,1.0
C00080,2025-09-02,Russia,Saint Petersburg,52.0,ads,0.0
C00081,2026-05-07,Russia,Moscow,37.0,ads,1.0
C00082,2025-02-02,Armenia,Yerevan,59.0,referral,1.0
C00083,2024-05-26,Armenia,Yerevan,33.0,organic,1.0
C00084,2026-01-29,Kazakhstan,Almaty,37.0,email,1.0
C00085,2025-07-28,Georgia,Tbilisi,29.0,ads,1.0
C00086,2025-09-30,Kazakhstan,Astana,32.0,ads,1.0
C00087,2024-03-29,Kazakhstan,Almaty,55.0,ads,1.0
C00088,2024-10-11,Kazakhstan,Astana,42.0,organic,1.0
C00089,2025-12-01,Russia,Kazan,52.0,ads,1.0
C00090,2026-01-29,Russia,Kazan,22.0,organic,0.0
C00091,2025-01-31,Russia,Novosibirsk,46.0,organic,1.0
C00092,2026-01-03,Belarus,Minsk,,ads,1.0
C00093,2026-02-06,Russia,Saint Petersburg,66.0,ads,1.0
C00094,2024-12-19,Russia,Moscow,40.0,organic,1.0
C00095,2026-03-30,Russia,Kazan,23.0,organic,1.0
C00096,2024-09-19,Russia,Kazan,54.0,organic,1.0
C00097,2024-08-06,Russia,Novosibirsk,25.0,organic,1.0
C00098,2025-09-14,Kazakhstan,Almaty,66.0,ads,1.0
C00099,2025-08-03,Armenia,Yerevan,38.0,organic,1.0
C00100,2024-05-07,Russia,Moscow,59.0,referral,1.0
C00101,2026-01-29,Russia,Novosibirsk,52.0,organic,1.0
C00102,2024-07-01,Russia,Kazan,42.0,organic,1.0
C00103,2026-01-04,Kazakhstan,Astana,48.0,referral,1.0
C00104,2024-01-07,Kazakhstan,Almaty,27.0,organic,0.0
C00105,2025-12-27,Russia,Saint Petersburg,21.0,ads,1.0
C00106,2025-12-18,Kazakhstan,Almaty,58.0,email,1.0
C00107,2025-12-12,Russia,Kazan,68.0,email,1.0
C00108,2025-08-29,Russia,Moscow,63.0,referral,1.0
C00109,2025-03-06,Georgia,Tbilisi,34.0,organic,1.0
C00110,2025-10-05,Russia,Novosibirsk,36.0,ads,1.0
C00111,2024-09-09,Russia,Moscow,37.0,email,1.0
C00112,2025-12-13,Russia,Saint Petersburg,55.0,email,1.0
C00113,2025-05-21,Belarus,Minsk,,organic,1.0
C00114,2025-02-22,Georgia,Tbilisi,60.0,ads,1.0
C00115,2025-04-06,Georgia,Tbilisi,68.0,,0.0
C00116,2025-06-02,Russia,Kazan,38.0,organic,0.0
C00117,2024-02-03,Russia,Kazan,53.0,ads,1.0
C00118,2024-05-07,Kazakhstan,Astana,44.0,organic,1.0
C00119,2024-08-11,Russia,Novosibirsk,68.0,organic,1.0
C00120,2024-04-14,Armenia,Yerevan,36.0,organic,0.0
C00121,2025-02-04,Belarus,Minsk,27.0,ads,1.0
C00122,2025-09-01,Russia,Moscow,38.0,organic,1.0
C00123,2025-08-19,Kazakhstan,Astana,50.0,ads,1.0
C00124,2025-03-05,Russia,Saint Petersburg,68.0,organic,1.0
C00125,2026-02-18,Russia,Moscow,61.0,email,1.0
C00126,2025-05-30,Russia,Novosibirsk,18.0,organic,1.0
C00127,2024-03-13,Russia,Kazan,44.0,ads,1.0
