order_id,customer_id,order_date,status,category,payment_method,quantity,discount_percent,amount,delivery_days,rating
O100001,C01194,2026-02-09,cancelled,home,card,4,25.0,4557.16,,
O100002,C01554,2026-03-25,completed,beauty,sbp,3,15.0,1329.89,2.0,5.0
O100003,C00420,2026-02-10,processing,clothing,cash,1,7.0,254.73,16.0,
O100004,C01986,2026-03-13,completed,electronics,card,4,15.0,515.5,4.0,4.0
O100005,C00881,2024-11-05,cancelled,electronics,card,3,15.0,2785.58,,
O100006,C01868,2026-03-13,delivered,electronics,cash,4,20.0,879.0,19.0,2.0
O100007,C00494,2026-03-22,completed,electronics,sbp,5,28.0,18595.47,7.0,4.0
O100008,C00848,2024-09-11,completed,clothing,card,5,2.0,1011.86,6.0,4.0
O100009,C00276,2025-12-02,processing,beauty,card,5,17.0,5536.38,1.0,
O100010,C01693,2026-04-11,cancelled,clothing,card,4,11.0,5470.34,,
O100011,C01196,2026-03-20,delivered,beauty,card,4,18.0,674.83,16.0,1.0
O100012,C00152,2024-10-13,completed,toys,cash,1,6.0,343.87,7.0,3.0
O100013,C01488,2024-11-08,delivered,electronics,card,1,19.0,409.96,15.0,2.0
O100014,C01775,2026-02-02,completed,home,sbp,1,2.0,7991.09,18.0,2.0
O100015,C01371,2026-07-31,delivered,electronics,card,4,24.0,1619.72,4.0,4.0
O100016,C01617,2026-06-29,completed,electronics,sbp,4,11.0,792.94,1.0,4.0
O100017,C00553,2026-07-31,cancelled,electronics,wallet,5,2.0,3651.28,,
O100018,C00865,2026-07-31,delivered,electronics,card,4,18.0,852.59,10.0,4.0
O100019,C01709,2024-10-15,completed,home,wallet,5,11.0,2345.38,16.0,2.0
O100020,C01217,2025-07-20,delivered,home,cash,4,28.0,1369.69,10.0,4.0
O100021,C01224,2025-10-30,completed,home,sbp,4,29.0,2983.06,3.0,5.0
O100022,C01535,2026-07-31,completed,home,card,3,19.0,943.54,5.0,5.0
O100023,C01230,2025-06-07,completed,beauty,sbp,1,29.0,282.34,16.0,1.0
O100024,C00253,2025-03-05,completed,beauty,card,4,3.0,4672.87,16.0,
O100025,C00426,2025-03-31,completed,beauty,card,3,17.0,1862.85,5.0,3.0
O100026,C99999,2026-07-31,delivered,home,wallet,5,24.0,2520.04,5.0,5.0
O100027,C00485,2026-01-21,delivered,clothing,wallet,5,9.0,528.2,10.0,3.0
O100028,C01332,2026-07-31,delivered,clothing,card,2,13.0,0.0,2.0,4.0
O100029,C00950,2024-12-19,processing,clothing,card,1,26.0,338.14,4.0,
O100030,C01241,2025-07-28,cancelled,electronics,wallet,2,27.0,1231.36,,
O100031,C00476,2026-01-05,completed,beauty,card,3,27.0,338.04,6.0,
O100032,C00621,2025-05-07,delivered,toys,card,5,22.0,3075.47,16.0,2.0
O100033,C01377,2026-07-31,processing,toys,card,5,9.0,2875.34,12.0,
O100034,C00344,2025-12-10,completed,electronics,card,5,4.0,2050.43,7.0,4.0
O100035,C00618,2025-07-16,completed,electronics,card,2,22.0,485.09,18.0,2.0
O100036,C01997,2025-12-21,processing,electronics,cash,1,1.0,1252.42,10.0,
O100037,C00304,2026-07-31,cancelled,beauty,card,4,29.0,1084.71,,
O100038,C01156,2026-01-06,cancelled,home,cash,3,6.0,3061.84,,
O100039,C00304,2026-07-31,cancelled,beauty,card,3,,3416.39,,
O100040,C01415,2026-04-07,completed,toys,sbp,4,30.0,1012.84,7.0,3.0
O100041,C00255,2026-02-19,delivered,electronics,card,5,2.0,4482.25,12.0,4.0
O100042,C01148,2026-07-31,cancelled,clothing,cash,1,18.0,349.41,,
O100043,C00880,2026-06-08,completed,beauty,sbp,4,25.0,3284.98,4.0,
O100044,C01384,2026-07-21,completed,electronics,sbp,1,4.0,233.06,1.0,5.0
O100045,C00007,2024-06-05,completed,clothing,card,3,20.0,1348.21,11.0,5.0
O100046,C01033,2025-12-11,Completed,clothing,sbp,1,23.0,524.08,7.0,4.0
O100047,C01085,2025-06-02,delivered,home,card,5,23.0,2406.48,5.0,4.0
O100048,C00482,2026-07-06,cancelled,toys,card,3,6.0,2005.35,,
O100049,C00597,2026-01-04,completed,electronics,sbp,2,20.0,516.01,16.0,2.0
O100050,C01413,2024-11-23,delivered,clothing,card,2,17.0,633.5,11.0,2.0
O100051,C01105,2025-02-25,completed,toys,card,4,13.0,3488.99,18.0,2.0
O100052,C01158,2026-07-10,processing,clothing,wallet,2,15.0,708.59,1.0,
O100053,C01871,2024-09-08,delivered,home,card,2,29.0,662.04,13.0,3.0
O100054,C00811,2024-04-13,delivered,toys,sbp,1,1.0,251.27,20.0,2.0
O100055,C01739,2024-10-15,completed,electronics,card,2,19.0,682.06,8.0,4.0
O100056,C01949,2024-05-23,completed,electronics,card,4,17.0,866.66,20.0,1.0
O100057,C01153,2025-04-24,completed,electronics,card,1,16.0,883.1,17.0,2.0
O100058,C00424,2025-06-18,cancelled,electronics,card,5,27.0,1720.18,,
O100059,C00837,2026-02-13,completed,clothing,sbp,2,17.0,414.14,8.0,2.0
O100060,C00094,2025-03-27,cancelled,electronics,sbp,4,25.0,1675.32,,
O100061,C01397,2026-04-12,completed,clothing,card,1,23.0,161.23,8.0,5.0
O100062,C00548,2026-05-01,delivered,beauty,cash,1,25.0,248.48,14.0,2.0
O100063,C01847,2025-12-15,Processing ,electronics,card,5,18.0,7281.05,3.0,
O100064,C01307,2024-12-06,completed,clothing,cash,5,0.0,1031.67,15.0,2.0
O100065,C00980,2026-01-17,delivered,electronics,card,2,2.0,878.66,18.0,2.0
O100066,C00374,2025-03-13,completed,home,card,5,16.0,14393.81,13.0,2.0
O100067,C00199,2024-12-27,completed,clothing,card,5,8.0,3007.43,3.0,4.0
O100068,C01346,2026-07-31,delivered,electronics,card,2,7.0,654.92,1.0,
O100069,C01533,2026-07-31,completed,toys,card,5,15.0,502.35,19.0,1.0
O100070,C00533,2025-02-23,delivered,beauty,card,5,14.0,2815.72,7.0,4.0
O100071,C00021,2025-05-13,delivered,home,wallet,2,5.0,533.25,999.0,1.0
O100072,C00640,2026-07-31,completed,home,card,3,14.0,2309.65,13.0,4.0
O100073,C01530,2026-07-31,completed,clothing,card,2,26.0,573.72,17.0,3.0
O100074,C01161,2025-09-24,completed,electronics,card,1,4.0,615.07,4.0,4.0
O100075,C00170,2024-02-01,completed,clothing,card,5,24.0,7836.43,10.0,4.0
O100076,C00230,2024-08-23,completed,beauty,card,3,24.0,2529.12,10.0,3.0
O100077,C00214,2025-08-09,delivered,toys,wallet,1,23.0,171.63,6.0,5.0
O100078,C01517,2025-05-24,completed,home,card,3,4.0,1587.29,19.0,2.0
O100079,C01564,2026-07-31,cancelled,clothing,wallet,4,14.0,4260.23,,
O100080,C00816,2026-07-31,cancelled,home,card,5,28.0,730.51,,
O100081,C01380,2025-06-12,completed,home,sbp,4,8.0,7601.3,17.0,2.0
O100082,C00042,2026-07-31,delivered,electronics,card,2,15.0,1103.1,7.0,5.0
O100083,C01124,2024-11-30,completed,clothing,card,5,,3907.29,10.0,
O100084,C00545,2026-07-31,completed,electronics,sbp,4,17.0,1497.02,8.0,4.0
O100085,C01642,2024-10-09,processing,clothing,card,3,10.0,1534.05,6.0,
O100086,C00978,2026-03-07,delivered,beauty,card,4,3.0,963.66,3.0,5.0
O100087,C01703,2025-12-27,completed,clothing,cash,5,17.0,8493.86,12.0,3.0
O100088,C01126,2026-04-11,cancelled,home,card,1,15.0,2068.22,,
O100089,C00916,2025-04-15,processing,clothing,card,4,9.0,10977.76,1.0,
O100090,C01894,2025-12-31,delivered,electronics,wallet,4,9.0,479.96,6.0,
O100091,C01993,2025-04-04,delivered,home,cash,5,30.0,3206.94,15.0,3.0
O100092,C00912,2025-01-29,cancelled,home,sbp,3,19.0,2088.72,,
O100093,C00716,2026-07-31,delivered,beauty,sbp,2,21.0,560.43,14.0,2.0
O100094,C01293,2026-01-25,delivered,home,sbp,2,1.0,1327.96,20.0,1.0
O100095,C00344,2026-02-11,cancelled,beauty,card,3,29.0,468.4,,
O100096,C00773,2024-05-14,delivered,electronics,card,3,9.0,4797.68,20.0,2.0
O100097,C01692,2026-07-31,completed,home,sbp,5,29.0,722.63,5.0,5.0
O100098,C01794,2025-08-24,completed,clothing,sbp,5,29.0,3010.26,14.0,2.0
O100099,C00832,2025-04-23,completed,home,cash,3,6.0,2779.33,16.0,3.0
O100100,C00781,2026-07-31,completed,home,sbp,4,10.0,1220.11,3.0,4.0
O100101,C01749,2026-07-31,completed,electronics,card,4,22.0,5909.86,6.0,4.0
O100102,C00405,2025-05-19,delivered,clothing,card,4,15.0,457.74,10.0,3.0
O100103,C00123,2026-04-21,processing,home,card,4,14.0,1923.28,12.0,
O100104,C00146,2026-07-31,completed,electronics,cash,1,12.0,150.0,15.0,1.0
O100105,C00223,2026-04-14,completed,home,card,3,19.0,796.31,12.0,3.0
O100106,C01760,2026-01-22,cancelled,beauty,card,4,20.0,1327.75,,
O100107,C00081,2026-05-28,completed,electronics,card,3,14.0,948.36,13.0,2.0
O100108,C00665,2026-02-03,cancelled,home,card,4,17.0,5448.04,,
O100109,C01205,2025-11-29,delivered,beauty,card,2,1.0,385.77,1.0,5.0
O100110,C01219,2026-07-31,delivered,electronics,card,5,11.0,710.53,13.0,2.0
O100111,C01664,2025-09-12,completed,electronics,card,1,21.0,349.03,10.0,3.0
O100112,C01962,2026-07-31,completed,home,card,4,23.0,2158.05,8.0,4.0
O100113,C00806,2026-05-06,delivered,home,card,4,15.0,2947.91,16.0,3.0
